"","pokedex_number","name","generation","category","egg_group_1","egg_group_2","has_egg_group_2","color","body_style","height_m","weight_kg","abilities","ability_1","ability_2","ability_3","ability_4","ability_5","ability_6","no_of_abilities","has_mega_evolution","catch_rate","base_egg_steps","base_friendship","experience_growth","has_gender","prob_male","type_1","type_2","has_type_2","is_legendary","hp","attack","defense","sp_attack","sp_defense","speed","total"
"170",170,"Chinchou",2,"Angler","Water_2","none","FALSE","Blue","with_fins",0.51,12,"['Volt Absorb', 'Illuminate', 'Water Absorb']","Volt Absorb","Illuminate","Water Absorb","none","none","none",3,"False",190,5120,70,1250000,"True",0.5,"water","electric","TRUE","FALSE",75,38,38,56,56,67,330
"171",171,"Lanturn",2,"Light","Water_2","none","FALSE","Blue","with_fins",1.19,22.5,"['Volt Absorb', 'Illuminate', 'Water Absorb']","Volt Absorb","Illuminate","Water Absorb","none","none","none",3,"False",75,5120,70,1250000,"True",0.5,"water","electric","TRUE","FALSE",125,58,58,76,76,67,460
"172",172,"Pichu",2,"Tiny Mouse","Undiscovered","none","FALSE","Yellow","quadruped",0.3,2,"['Static', 'Lightningrod']","Static","Lightningrod","none","none","none","none",2,"False",190,2560,70,1000000,"True",0.5,"electric","none","FALSE","FALSE",20,40,15,35,35,60,205
"173",173,"Cleffa",2,"Star Shape","Undiscovered","none","FALSE","Pink","bipedal_tailed",0.3,3,"['Cute Charm', 'Magic Guard', 'Friend Guard']","Cute Charm","Magic Guard","Friend Guard","none","none","none",3,"False",150,2560,140,800000,"True",0.25,"fairy","none","FALSE","FALSE",50,25,28,45,55,15,218
"174",174,"Igglybuff",2,"Balloon","Undiscovered","none","FALSE","Pink","bipedal_tailless",0.3,1,"['Cute Charm', 'Competitive', 'Friend Guard']","Cute Charm","Competitive","Friend Guard","none","none","none",3,"False",170,2560,70,800000,"True",0.25,"normal","fairy","TRUE","FALSE",90,30,15,40,20,15,210
"175",175,"Togepi",2,"Spike Ball","Undiscovered","none","FALSE","White","bipedal_tailless",0.3,1.5,"['Hustle', 'Serene Grace', 'Super Luck']","Hustle","Serene Grace","Super Luck","none","none","none",3,"False",190,2560,70,800000,"True",0.875,"fairy","none","FALSE","FALSE",35,20,65,40,65,20,245
"176",176,"Togetic",2,"Happiness","Flying","Fairy","TRUE","White","bipedal_tailless",0.61,3.2,"['Hustle', 'Serene Grace', 'Super Luck']","Hustle","Serene Grace","Super Luck","none","none","none",3,"False",75,2560,70,800000,"True",0.875,"fairy","flying","TRUE","FALSE",55,40,85,80,105,40,405
"177",177,"Natu",2,"Little Bird","Flying","none","FALSE","Green","two_wings",0.2,2,"['Synchronize', 'Early Bird', 'Magic Bounce']","Synchronize","Early Bird","Magic Bounce","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"psychic","flying","TRUE","FALSE",40,50,45,70,45,70,320
"178",178,"Xatu",2,"Mystic","Flying","none","FALSE","Green","two_wings",1.5,15,"['Synchronize', 'Early Bird', 'Magic Bounce']","Synchronize","Early Bird","Magic Bounce","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"psychic","flying","TRUE","FALSE",65,75,70,95,70,95,470
"179",179,"Mareep",2,"Wool","Monster","Field","TRUE","White","quadruped",0.61,7.8,"['Static', 'Plus']","Static","Plus","none","none","none","none",2,"False",235,5120,70,1059860,"True",0.5,"electric","none","FALSE","FALSE",55,40,40,65,45,35,280
"180",180,"Flaaffy",2,"Wool","Monster","Field","TRUE","Pink","bipedal_tailed",0.79,13.3,"['Static', 'Plus']","Static","Plus","none","none","none","none",2,"False",120,5120,70,1059860,"True",0.5,"electric","none","FALSE","FALSE",70,55,55,80,60,45,365
"181",181,"Ampharos",2,"Light","Monster","Field","TRUE","Yellow","bipedal_tailed",1.4,61.5,"['Static', 'Plus']","Static","Plus","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.5,"electric","none","FALSE","FALSE",90,95,105,165,110,45,610
"182",182,"Bellossom",2,"Flower","Grass","none","FALSE","Green","bipedal_tailless",0.41,5.8,"['Chlorophyll', 'Healer']","Chlorophyll","Healer","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.5,"grass","none","FALSE","FALSE",75,80,95,90,100,50,490
"183",183,"Marill",2,"Aquamouse","Water_1","Fairy","TRUE","Blue","bipedal_tailed",0.41,8.5,"['Thick Fat', 'Huge Power', 'Sap Sipper']","Thick Fat","Huge Power","Sap Sipper","none","none","none",3,"False",190,2560,70,800000,"True",0.5,"water","fairy","TRUE","FALSE",70,20,50,20,50,40,250
"184",184,"Azumarill",2,"Aquarabbit","Water_1","Fairy","TRUE","Blue","bipedal_tailed",0.79,28.5,"['Thick Fat', 'Huge Power', 'Sap Sipper']","Thick Fat","Huge Power","Sap Sipper","none","none","none",3,"False",75,2560,70,800000,"True",0.5,"water","fairy","TRUE","FALSE",100,50,80,60,80,50,420
"185",185,"Sudowoodo",2,"Imitation","Mineral","none","FALSE","Brown","bipedal_tailless",1.19,38,"['Sturdy', 'Rock Head', 'Rattled']","Sturdy","Rock Head","Rattled","none","none","none",3,"False",65,5120,70,1000000,"True",0.5,"rock","none","FALSE","FALSE",70,100,115,30,65,30,410
"186",186,"Politoed",2,"Frog","Water_1","none","FALSE","Green","bipedal_tailed",1.09,33.9,"['Water Absorb', 'Damp', 'Drizzle']","Water Absorb","Damp","Drizzle","none","none","none",3,"False",45,5120,70,1059860,"True",0.5,"water","none","FALSE","FALSE",90,75,75,90,100,70,500
"187",187,"Hoppip",2,"Cottonweed","Fairy","Grass","TRUE","Pink","bipedal_tailed",0.41,0.5,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","Chlorophyll","Leaf Guard","Infiltrator","none","none","none",3,"False",255,5120,70,1059860,"True",0.5,"grass","flying","TRUE","FALSE",35,35,40,35,55,50,250
"188",188,"Skiploom",2,"Cottonweed","Fairy","Grass","TRUE","Green","bipedal_tailed",0.61,1,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","Chlorophyll","Leaf Guard","Infiltrator","none","none","none",3,"False",120,5120,70,1059860,"True",0.5,"grass","flying","TRUE","FALSE",55,45,50,45,65,80,340
"189",189,"Jumpluff",2,"Cottonweed","Fairy","Grass","TRUE","Blue","bipedal_tailed",0.79,3,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","Chlorophyll","Leaf Guard","Infiltrator","none","none","none",3,"False",45,5120,70,1059860,"True",0.5,"grass","flying","TRUE","FALSE",75,55,70,55,95,110,460
"190",190,"Aipom",2,"Long Tail","Field","none","FALSE","Purple","bipedal_tailed",0.79,11.5,"['Run Away', 'Pickup', 'Skill Link']","Run Away","Pickup","Skill Link","none","none","none",3,"False",45,5120,70,800000,"True",0.5,"normal","none","FALSE","FALSE",55,70,55,40,55,85,360
"191",191,"Sunkern",2,"Seed","Grass","none","FALSE","Yellow","head_only",0.3,1.8,"['Chlorophyll', 'Solar Power', 'Early Bird']","Chlorophyll","Solar Power","Early Bird","none","none","none",3,"False",235,5120,70,1059860,"True",0.5,"grass","none","FALSE","FALSE",30,30,30,30,30,30,180
"192",192,"Sunflora",2,"Sun","Grass","none","FALSE","Yellow","bipedal_tailless",0.79,8.5,"['Chlorophyll', 'Solar Power', 'Early Bird']","Chlorophyll","Solar Power","Early Bird","none","none","none",3,"False",120,5120,70,1059860,"True",0.5,"grass","none","FALSE","FALSE",75,75,55,105,85,30,425
"193",193,"Yanma",2,"Clear Wing","Bug","none","FALSE","Red","four_wings",1.19,38,"['Speed Boost', 'Compoundeyes', 'Frisk']","Speed Boost","Compoundeyes","Frisk","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"bug","flying","TRUE","FALSE",65,65,45,75,45,95,390
"194",194,"Wooper",2,"Water Fish","Water_1","Field","TRUE","Blue","head_legs",0.41,8.5,"['Damp', 'Water Absorb', 'Unaware']","Damp","Water Absorb","Unaware","none","none","none",3,"False",255,5120,70,1000000,"True",0.5,"water","ground","TRUE","FALSE",55,45,45,25,25,15,210
"195",195,"Quagsire",2,"Water Fish","Water_1","Field","TRUE","Blue","bipedal_tailed",1.4,75,"['Damp', 'Water Absorb', 'Unaware']","Damp","Water Absorb","Unaware","none","none","none",3,"False",90,5120,70,1000000,"True",0.5,"water","ground","TRUE","FALSE",95,85,85,65,65,35,430
"196",196,"Espeon",2,"Sun","Field","none","FALSE","Purple","quadruped",0.89,26.5,"['Synchronize', 'Magic Bounce']","Synchronize","Magic Bounce","none","none","none","none",2,"False",45,8960,70,1000000,"True",0.875,"psychic","none","FALSE","FALSE",65,65,60,130,95,110,525
"197",197,"Umbreon",2,"Moonlight","Field","none","FALSE","Black","quadruped",0.99,27,"['Synchronize', 'Inner Focus']","Synchronize","Inner Focus","none","none","none","none",2,"False",45,8960,35,1000000,"True",0.875,"dark","none","FALSE","FALSE",95,65,110,60,130,65,525
"198",198,"Murkrow",2,"Darkness","Flying","none","FALSE","Black","two_wings",0.51,2.1,"['Insomnia', 'Super Luck', 'Prankster']","Insomnia","Super Luck","Prankster","none","none","none",3,"False",30,5120,35,1059860,"True",0.5,"dark","flying","TRUE","FALSE",60,85,42,85,42,91,405
"199",199,"Slowking",2,"Royal","Monster","Water_1","TRUE","Pink","bipedal_tailed",2.01,79.5,"['Oblivious', 'Own Tempo', 'Regenerator']","Oblivious","Own Tempo","Regenerator","none","none","none",3,"False",70,5120,70,1000000,"True",0.5,"water","psychic","TRUE","FALSE",95,75,80,100,110,30,490
"200",200,"Misdreavus",2,"Screech","Amorphous","none","FALSE","Purple","head_only",0.71,1,"['Levitate']","Levitate","none","none","none","none","none",1,"False",45,6400,35,800000,"True",0.5,"ghost","none","FALSE","FALSE",60,60,60,85,85,85,435
"201",201,"Unown",2,"Symbol","Undiscovered","none","FALSE","Black","head_only",0.51,5,"['Levitate']","Levitate","none","none","none","none","none",1,"False",225,10240,70,1000000,"False",0,"psychic","none","FALSE","FALSE",48,72,48,72,48,48,336
"202",202,"Wobbuffet",2,"Patient","Amorphous","none","FALSE","Blue","head_base",1.3,28.5,"['Shadow Tag', 'Telepathy']","Shadow Tag","Telepathy","none","none","none","none",2,"False",45,5120,70,1000000,"True",0.5,"psychic","none","FALSE","FALSE",190,33,58,33,58,33,405
"203",203,"Girafarig",2,"Long Neck","Field","none","FALSE","Yellow","quadruped",1.5,41.5,"['Inner Focus', 'Early Bird', 'Sap Sipper']","Inner Focus","Early Bird","Sap Sipper","none","none","none",3,"False",60,5120,70,1000000,"True",0.5,"normal","psychic","TRUE","FALSE",70,80,65,90,65,85,455
"204",204,"Pineco",2,"Bagworm","Bug","none","FALSE","Grey","head_only",0.61,7.2,"['Sturdy', 'Overcoat']","Sturdy","Overcoat","none","none","none","none",2,"False",190,5120,70,1000000,"True",0.5,"bug","none","FALSE","FALSE",50,65,90,35,35,15,290
"205",205,"Forretress",2,"Bagworm","Bug","none","FALSE","Purple","head_only",1.19,125.8,"['Sturdy', 'Overcoat']","Sturdy","Overcoat","none","none","none","none",2,"False",75,5120,70,1000000,"True",0.5,"bug","steel","TRUE","FALSE",75,90,140,60,60,40,465
"206",206,"Dunsparce",2,"Land Snake","Field","none","FALSE","Yellow","serpentine_body",1.5,14,"['Serene Grace', 'Run Away', 'Rattled']","Serene Grace","Run Away","Rattled","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"normal","none","FALSE","FALSE",100,70,70,65,65,45,415
"207",207,"Gligar",2,"Flyscorpion","Bug","none","FALSE","Purple","two_wings",1.09,64.8,"['Hyper Cutter', 'Sand Veil', 'Immunity']","Hyper Cutter","Sand Veil","Immunity","none","none","none",3,"False",60,5120,70,1059860,"True",0.5,"ground","flying","TRUE","FALSE",65,75,105,35,65,85,430
"208",208,"Steelix",2,"Iron Snake","Mineral","none","FALSE","Grey","serpentine_body",9.19,400,"['Rock Head', 'Sturdy', 'Sheer Force']","Rock Head","Sturdy","Sheer Force","none","none","none",3,"True",25,6400,70,1000000,"True",0.5,"steel","ground","TRUE","FALSE",75,125,230,55,95,30,610
"209",209,"Snubbull",2,"Fairy","Field","Fairy","TRUE","Pink","bipedal_tailless",0.61,7.8,"['Intimidate', 'Run Away', 'Rattled']","Intimidate","Run Away","Rattled","none","none","none",3,"False",190,5120,70,800000,"True",0.25,"fairy","none","FALSE","FALSE",60,80,50,40,40,30,300
"210",210,"Granbull",2,"Fairy","Field","Fairy","TRUE","Purple","bipedal_tailed",1.4,48.7,"['Intimidate', 'Quick Feet', 'Rattled']","Intimidate","Quick Feet","Rattled","none","none","none",3,"False",75,5120,70,800000,"True",0.25,"fairy","none","FALSE","FALSE",90,120,75,60,60,45,450
"211",211,"Qwilfish",2,"Balloon","Water_2","none","FALSE","Grey","with_fins",0.51,3.9,"['Poison Point', 'Swift Swim', 'Intimidate']","Poison Point","Swift Swim","Intimidate","none","none","none",3,"False",45,5120,70,1000000,"True",0.5,"water","poison","TRUE","FALSE",65,95,85,55,55,85,440
"212",212,"Scizor",2,"Pincer","Bug","none","FALSE","Red","four_wings",1.8,118,"['Swarm', 'Technician', 'Light Metal']","Swarm","Technician","Light Metal","none","none","none",3,"True",25,6400,70,1000000,"True",0.5,"bug","steel","TRUE","FALSE",70,150,140,65,100,75,600
"213",213,"Shuckle",2,"Mold","Bug","none","FALSE","Yellow","insectoid",0.61,20.5,"['Sturdy', 'Gluttony', 'Contrary']","Sturdy","Gluttony","Contrary","none","none","none",3,"False",190,5120,70,1059860,"True",0.5,"bug","rock","TRUE","FALSE",20,10,230,10,230,5,505
"214",214,"Heracross",2,"Singlehorn","Bug","none","FALSE","Blue","bipedal_tailless",1.5,54,"['Swarm', 'Guts', 'Moxie']","Swarm","Guts","Moxie","none","none","none",3,"True",45,6400,70,1250000,"True",0.5,"bug","fighting","TRUE","FALSE",80,185,115,40,105,75,600
"215",215,"Sneasel",2,"Sharp Claw","Field","none","FALSE","Black","bipedal_tailed",0.89,28,"['Inner Focus', 'Keen Eye', 'Pickpocket']","Inner Focus","Keen Eye","Pickpocket","none","none","none",3,"False",60,5120,35,1059860,"True",0.5,"dark","ice","TRUE","FALSE",55,95,55,35,75,115,430
"216",216,"Teddiursa",2,"Little Bear","Field","none","FALSE","Brown","bipedal_tailed",0.61,8.8,"['Pickup', 'Quick Feet', 'Honey Gather']","Pickup","Quick Feet","Honey Gather","none","none","none",3,"False",120,5120,70,1000000,"True",0.5,"normal","none","FALSE","FALSE",60,80,50,50,50,40,330
"217",217,"Ursaring",2,"Hibernator","Field","none","FALSE","Brown","bipedal_tailed",1.8,125.8,"['Guts', 'Quick Feet', 'Unnerve']","Guts","Quick Feet","Unnerve","none","none","none",3,"False",60,5120,70,1000000,"True",0.5,"normal","none","FALSE","FALSE",90,130,75,75,75,55,500
"218",218,"Slugma",2,"Lava","Amorphous","none","FALSE","Red","serpentine_body",0.71,35,"['Magma Armor', 'Flame Body', 'Weak Armor']","Magma Armor","Flame Body","Weak Armor","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"fire","none","FALSE","FALSE",40,40,40,70,40,20,250
"219",219,"Magcargo",2,"Lava","Amorphous","none","FALSE","Red","serpentine_body",0.79,55,"['Magma Armor', 'Flame Body', 'Weak Armor']","Magma Armor","Flame Body","Weak Armor","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"fire","rock","TRUE","FALSE",60,50,120,90,80,30,430
"220",220,"Swinub",2,"Pig","Field","none","FALSE","Brown","quadruped",0.41,6.5,"['Oblivious', 'Snow Cloak', 'Thick Fat']","Oblivious","Snow Cloak","Thick Fat","none","none","none",3,"False",225,5120,70,1250000,"True",0.5,"ice","ground","TRUE","FALSE",50,50,40,30,30,50,250
"221",221,"Piloswine",2,"Swine","Field","none","FALSE","Brown","quadruped",1.09,55.8,"['Oblivious', 'Snow Cloak', 'Thick Fat']","Oblivious","Snow Cloak","Thick Fat","none","none","none",3,"False",75,5120,70,1250000,"True",0.5,"ice","ground","TRUE","FALSE",100,100,80,60,60,50,450
"222",222,"Corsola",2,"Coral","Water_1","Water_3","TRUE","Pink","insectoid",0.61,5,"['Hustle', 'Natural Cure', 'Regenerator']","Hustle","Natural Cure","Regenerator","none","none","none",3,"False",60,5120,70,800000,"True",0.25,"water","rock","TRUE","FALSE",65,55,95,65,95,35,410
"223",223,"Remoraid",2,"Jet","Water_1","Water_2","TRUE","Grey","with_fins",0.61,12,"['Hustle', 'Sniper', 'Moody']","Hustle","Sniper","Moody","none","none","none",3,"False",190,5120,70,1000000,"True",0.5,"water","none","FALSE","FALSE",35,65,35,65,35,65,300
"224",224,"Octillery",2,"Jet","Water_1","Water_2","TRUE","Red","several_limbs",0.89,28.5,"['Suction Cups', 'Sniper', 'Moody']","Suction Cups","Sniper","Moody","none","none","none",3,"False",75,5120,70,1000000,"True",0.5,"water","none","FALSE","FALSE",75,105,75,105,75,45,480
"225",225,"Delibird",2,"Delivery","Water_1","Field","TRUE","Red","two_wings",0.89,16,"['Vital Spirit', 'Hustle', 'Insomnia']","Vital Spirit","Hustle","Insomnia","none","none","none",3,"False",45,5120,70,800000,"True",0.5,"ice","flying","TRUE","FALSE",45,55,45,65,45,75,330
"226",226,"Mantine",2,"Kite","Water_1","none","FALSE","Purple","two_wings",2.11,220,"['Swift Swim', 'Water Absorb', 'Water Veil']","Swift Swim","Water Absorb","Water Veil","none","none","none",3,"False",25,6400,70,1250000,"True",0.5,"water","flying","TRUE","FALSE",85,40,70,80,140,70,485
"227",227,"Skarmory",2,"Armor Bird","Flying","none","FALSE","Grey","two_wings",1.7,50.5,"['Keen Eye', 'Sturdy', 'Weak Armor']","Keen Eye","Sturdy","Weak Armor","none","none","none",3,"False",25,6400,70,1250000,"True",0.5,"steel","flying","TRUE","FALSE",65,80,140,40,70,70,465
"228",228,"Houndour",2,"Dark","Field","none","FALSE","Black","quadruped",0.61,10.8,"['Early Bird', 'Flash Fire', 'Unnerve']","Early Bird","Flash Fire","Unnerve","none","none","none",3,"False",120,5120,35,1250000,"True",0.5,"dark","fire","TRUE","FALSE",45,60,30,80,50,65,330
"229",229,"Houndoom",2,"Dark","Field","none","FALSE","Black","quadruped",1.4,35,"['Early Bird', 'Flash Fire', 'Unnerve']","Early Bird","Flash Fire","Unnerve","none","none","none",3,"True",45,5120,35,1250000,"True",0.5,"dark","fire","TRUE","FALSE",75,90,90,140,90,115,600
"230",230,"Kingdra",2,"Dragon","Water_1","Dragon","TRUE","Blue","head_base",1.8,152,"['Swift Swim', 'Sniper', 'Damp']","Swift Swim","Sniper","Damp","none","none","none",3,"False",45,5120,70,1000000,"True",0.5,"water","dragon","TRUE","FALSE",75,95,95,95,95,85,540
"231",231,"Phanpy",2,"Long Nose","Field","none","FALSE","Blue","quadruped",0.51,33.5,"['Pickup', 'Sand Veil']","Pickup","Sand Veil","none","none","none","none",2,"False",120,5120,70,1000000,"True",0.5,"ground","none","FALSE","FALSE",90,60,60,40,40,40,330
"232",232,"Donphan",2,"Armor","Field","none","FALSE","Grey","quadruped",1.09,120,"['Sturdy', 'Sand Veil']","Sturdy","Sand Veil","none","none","none","none",2,"False",60,5120,70,1000000,"True",0.5,"ground","none","FALSE","FALSE",90,120,120,60,60,50,500
"233",233,"Porygon2",2,"Virtual","Mineral","none","FALSE","Red","head_legs",0.61,32.5,"['Trace', 'Download', 'Analytic']","Trace","Download","Analytic","none","none","none",3,"False",45,5120,70,1000000,"False",0,"normal","none","FALSE","FALSE",85,80,90,105,95,60,515
"234",234,"Stantler",2,"Big Horn","Field","none","FALSE","Brown","quadruped",1.4,71.2,"['Intimidate', 'Frisk', 'Sap Sipper']","Intimidate","Frisk","Sap Sipper","none","none","none",3,"False",45,5120,70,1250000,"True",0.5,"normal","none","FALSE","FALSE",73,95,62,85,65,85,465
"235",235,"Smeargle",2,"Painter","Field","none","FALSE","White","bipedal_tailed",1.19,58,"['Own Tempo', 'Technician', 'Moody']","Own Tempo","Technician","Moody","none","none","none",3,"False",45,5120,70,800000,"True",0.5,"normal","none","FALSE","FALSE",55,20,35,20,45,75,250
"236",236,"Tyrogue",2,"Scuffle","Undiscovered","none","FALSE","Purple","bipedal_tailless",0.71,21,"['Guts', 'Steadfast', 'Vital Spirit']","Guts","Steadfast","Vital Spirit","none","none","none",3,"False",75,6400,70,1000000,"True",1,"fighting","none","FALSE","FALSE",35,35,35,35,35,35,210
"237",237,"Hitmontop",2,"Handstand","Human-Like","none","FALSE","Brown","bipedal_tailed",1.4,48,"['Intimidate', 'Technician', 'Steadfast']","Intimidate","Technician","Steadfast","none","none","none",3,"False",45,6400,70,1000000,"True",1,"fighting","none","FALSE","FALSE",50,95,95,35,110,70,455
"238",238,"Smoochum",2,"Kiss","Undiscovered","none","FALSE","Pink","bipedal_tailless",0.41,6,"['Oblivious', 'Forewarn', 'Hydration']","Oblivious","Forewarn","Hydration","none","none","none",3,"False",45,6400,70,1000000,"True",0,"ice","psychic","TRUE","FALSE",45,30,15,85,65,65,305
"239",239,"Elekid",2,"Electric","Undiscovered","none","FALSE","Yellow","bipedal_tailless",0.61,23.5,"['Static', 'Vital Spirit']","Static","Vital Spirit","none","none","none","none",2,"False",45,6400,70,1000000,"True",0.75,"electric","none","FALSE","FALSE",45,63,37,65,55,95,360
"240",240,"Magby",2,"Live Coal","Undiscovered","none","FALSE","Red","bipedal_tailed",0.71,21.4,"['Flame Body', 'Vital Spirit']","Flame Body","Vital Spirit","none","none","none","none",2,"False",45,6400,70,1000000,"True",0.75,"fire","none","FALSE","FALSE",45,75,37,70,55,83,365
"241",241,"Miltank",2,"Milk Cow","Field","none","FALSE","Pink","bipedal_tailed",1.19,75.5,"['Thick Fat', 'Scrappy', 'Sap Sipper']","Thick Fat","Scrappy","Sap Sipper","none","none","none",3,"False",45,5120,70,1250000,"True",0,"normal","none","FALSE","FALSE",95,80,105,40,70,100,490
"242",242,"Blissey",2,"Happiness","Fairy","none","FALSE","Pink","bipedal_tailless",1.5,46.8,"['Natural Cure', 'Serene Grace', 'Healer']","Natural Cure","Serene Grace","Healer","none","none","none",3,"False",30,10240,140,800000,"True",0,"normal","none","FALSE","FALSE",255,10,10,75,135,55,540
"243",243,"Raikou",2,"Thunder","Undiscovered","none","FALSE","Yellow","quadruped",1.91,178,"['Pressure', 'Inner Focus']","Pressure","Inner Focus","none","none","none","none",2,"False",3,20480,35,1250000,"False",0,"electric","none","FALSE","TRUE",90,85,75,115,100,115,580
"244",244,"Entei",2,"Volcano","Undiscovered","none","FALSE","Brown","quadruped",2.11,198,"['Pressure', 'Inner Focus']","Pressure","Inner Focus","none","none","none","none",2,"False",3,20480,35,1250000,"False",0,"fire","none","FALSE","TRUE",115,115,85,90,75,100,580
"245",245,"Suicune",2,"Aurora","Undiscovered","none","FALSE","Blue","quadruped",2.01,187,"['Pressure', 'Inner Focus']","Pressure","Inner Focus","none","none","none","none",2,"False",3,20480,35,1250000,"False",0,"water","none","FALSE","TRUE",100,75,115,90,115,85,580
"246",246,"Larvitar",2,"Rock Skin","Monster","none","FALSE","Green","bipedal_tailed",0.61,72,"['Guts', 'Sand Veil']","Guts","Sand Veil","none","none","none","none",2,"False",45,10240,35,1250000,"True",0.5,"rock","ground","TRUE","FALSE",50,64,50,45,50,41,300
"247",247,"Pupitar",2,"Hard Shell","Monster","none","FALSE","Grey","serpentine_body",1.19,152,"['Shed Skin']","Shed Skin","none","none","none","none","none",1,"False",45,10240,35,1250000,"True",0.5,"rock","ground","TRUE","FALSE",70,84,70,65,70,51,410
"248",248,"Tyranitar",2,"Armor","Monster","none","FALSE","Green","bipedal_tailed",2.01,202,"['Sand Stream', 'Unnerve']","Sand Stream","Unnerve","none","none","none","none",2,"True",45,10240,35,1250000,"True",0.5,"rock","dark","TRUE","FALSE",100,164,150,95,120,71,700
"249",249,"Lugia",2,"Diving","Undiscovered","none","FALSE","White","two_wings",5.21,216,"['Pressure', 'Multiscale']","Pressure","Multiscale","none","none","none","none",2,"False",3,30720,0,1250000,"False",0,"psychic","flying","TRUE","TRUE",106,90,130,90,154,110,680
"250",250,"Ho-Oh",2,"Rainbow","Undiscovered","none","FALSE","Red","two_wings",3.81,199,"['Pressure', 'Regenerator']","Pressure","Regenerator","none","none","none","none",2,"False",3,30720,0,1250000,"False",0,"fire","flying","TRUE","TRUE",106,130,90,110,154,90,680
"251",251,"Celebi",2,"Time Travel","Undiscovered","none","FALSE","Green","bipedal_tailless",0.61,5,"['Natural Cure']","Natural Cure","none","none","none","none","none",1,"False",45,30720,100,1059860,"False",0,"psychic","grass","TRUE","TRUE",100,100,100,100,100,100,600
"252",252,"Treecko",3,"Wood Gecko","Monster","Dragon","TRUE","Green","bipedal_tailed",0.51,5,"['Overgrow', 'Unburden']","Overgrow","Unburden","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"grass","none","FALSE","FALSE",40,45,35,65,55,70,310
"253",253,"Grovyle",3,"Wood Gecko","Monster","Dragon","TRUE","Green","bipedal_tailed",0.89,21.6,"['Overgrow', 'Unburden']","Overgrow","Unburden","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"grass","none","FALSE","FALSE",50,65,45,85,65,95,405
"254",254,"Sceptile",3,"Forest","Monster","Dragon","TRUE","Green","bipedal_tailed",1.7,52.2,"['Overgrow', 'Unburden']","Overgrow","Unburden","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.875,"grass","none","FALSE","FALSE",70,110,75,145,85,145,630
"255",255,"Torchic",3,"Chick","Field","none","FALSE","Red","head_legs",0.41,2.5,"['Blaze', 'Speed Boost']","Blaze","Speed Boost","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"fire","none","FALSE","FALSE",45,60,40,70,50,45,310
"256",256,"Combusken",3,"Young Fowl","Field","none","FALSE","Red","bipedal_tailed",0.89,19.5,"['Blaze', 'Speed Boost']","Blaze","Speed Boost","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"fire","fighting","TRUE","FALSE",60,85,60,85,60,55,405
"257",257,"Blaziken",3,"Blaze","Field","none","FALSE","Red","bipedal_tailed",1.91,52,"['Blaze', 'Speed Boost']","Blaze","Speed Boost","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.875,"fire","fighting","TRUE","FALSE",80,160,80,130,80,100,630
"258",258,"Mudkip",3,"Mud Fish","Monster","Water_1","TRUE","Blue","quadruped",0.41,7.6,"['Torrent', 'Damp']","Torrent","Damp","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"water","none","FALSE","FALSE",50,70,50,50,50,40,310
"259",259,"Marshtomp",3,"Mud Fish","Monster","Water_1","TRUE","Blue","bipedal_tailed",0.71,28,"['Torrent', 'Damp']","Torrent","Damp","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"water","ground","TRUE","FALSE",70,85,70,60,70,50,405
"260",260,"Swampert",3,"Mud Fish","Monster","Water_1","TRUE","Blue","bipedal_tailed",1.5,81.9,"['Torrent', 'Damp']","Torrent","Damp","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.875,"water","ground","TRUE","FALSE",100,150,110,95,110,70,635
"261",261,"Poochyena",3,"Bite","Field","none","FALSE","Grey","quadruped",0.51,13.6,"['Run Away', 'Quick Feet', 'Rattled']","Run Away","Quick Feet","Rattled","none","none","none",3,"False",255,3840,70,1000000,"True",0.5,"dark","none","FALSE","FALSE",35,55,35,30,30,35,220
"262",262,"Mightyena",3,"Bite","Field","none","FALSE","Grey","quadruped",0.99,37,"['Intimidate', 'Quick Feet', 'Moxie']","Intimidate","Quick Feet","Moxie","none","none","none",3,"False",127,3840,70,1000000,"True",0.5,"dark","none","FALSE","FALSE",70,90,70,60,60,70,420
